,filename,Percentile value of 90 %,Percentile value of 75 %
1051,n12144580_8751,[0.5356875658035278],[0.4245716631412506]
1052,n12144580_8770,[0.7969765663146973],[0.7051398158073425]
1053,n12144580_8792,[0.6397004723548889],[0.5009984374046326]
1054,n12144580_8815,[0.724025547504425],[0.5588569641113281]
1055,n12144580_893,[0.5531349182128906],[0.37918582558631897]
1056,n12144580_8973,[0.6580930352210999],[0.5353448390960693]
1057,n12144580_9216,[0.7163572907447815],[0.5536127090454102]
1058,n12144580_9218,[0.9780154228210449],[0.8929871320724487]
1059,n12144580_922,[0.6873383522033691],[0.4597274959087372]
1060,n12144580_9246,[0.8423546552658081],[0.6654087901115417]
1061,n12144580_9364,[0.8058685064315796],[0.7568843364715576]
1062,n12144580_9438,[0.5518484711647034],[0.3380690813064575]
1063,n12144580_9553,[0.968503475189209],[0.8688555955886841]
1064,n12144580_9623,[0.7529357671737671],[0.562185525894165]
1065,n12144580_964,[0.7959930300712585],[0.6099711656570435]
1066,n12144580_9821,[0.719315767288208],[0.7147635221481323]
1067,n12144580_989,[0.5582485198974609],[0.4395568370819092]
